Lab_No,Client,Project,Sample_Number,Matrix,Client_Sample_ID,Source,Site.ID,State,Date_Sampled,X,X.1,Pit,Horizon,Depth,Collection_Method,Lat_Degree,Lat_Min,Lat_Sec,Long_Degree,Long_Min,Long_Sec,Sample_Type,Temp,Stage,Record_Number,Flow,Lysimeter_Vol,Acid.Neutralizing.Capacity,Ammonium,Calcium,Chloride,Dissolved.Organic.Carbon,Filtered.Aluminum,Filtered.Calcium,Filtered.Iron,Filtered.Magnesium,Filtered.Potassium,Filtered.Silicon,Filtered.Sodium,Magnesium,Nitrate,Organic.Monomeric.Aluminum,Organic.Monomeric.Iron,Oxygen.18,pH,Potassium,Silicon,Sodium,Specific.Conductance,Sulfate,Total.Aluminum,Total.Monomeric.Aluminum,Total.Monomeric.Iron,UV254,Q,Sug,DOCmg,mDOCmg,mDOC,SUVA,spT16,spT6,spT8
104339,USGS Watersheds Group,HON,104339-04,Water,57072,T16,NA,NA,16-May-11,12:00:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,NA,NA,NA,NA,-28.44712067,1.195000052,NA,4.576399803,511.0082397,27.15839577,24.91461372,NA,4.158854485,3.885903835,49.56968307,14.92503834,NA,22.06110001,1.952999949,NA,NA,4.481962204,NA,NA,NA,20.20000076,27.66390038,NA,11.93099976,NA,NA,NA,0.862744437,6.137721029,NA,NA,NA,1,NA,NA
104363,USGS Watersheds Group,HON,104363-04,Water,57155,T16,NA,NA,6-Jun-11,10:20:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,NA,NA,NA,NA,-33.55994797,1.164999962,NA,5.218299866,375.8689575,16.3919239,15.02102661,NA,4.337156773,1.865720272,73.30142212,19.84961891,NA,20.59329987,1.592000008,NA,NA,4.474500656,NA,NA,NA,20.5,37.20389938,NA,10.58699989,NA,NA,NA,1.160265067,4.51456283,NA,NA,NA,1,NA,NA
104396,USGS Watersheds Group,HON,104396-08,Water,57228,T16,NA,NA,19-Jul-11,12:35:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,14.5,NA,NA,NA,NA,-26.17625237,1.434000015,NA,7.760799885,394.377655,14.93097878,15.62341309,NA,4.78362608,1.746104121,96.42684937,24.53434753,NA,11.27270031,3.937999964,NA,NA,4.509061337,NA,NA,NA,20.10000038,38.75780106,NA,8.807999611,NA,NA,NA,1.208726058,4.736870834,NA,NA,NA,1,NA,NA
104406,USGS Watersheds Group,HON,104406-06,Water,57269,T16,NA,NA,1-Aug-11,12:00:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,16.5,NA,NA,NA,NA,6.079277992,0.684000015,NA,9.331600189,435.699585,14.75362968,14.92840672,NA,4.709765911,2.748509169,118.9714584,28.85469818,NA,7.449800014,4.06400013,NA,NA,4.924063206,NA,NA,NA,19.11000061,38.14009857,NA,8.484000206,NA,NA,NA,1.189461986,5.233188621,NA,NA,NA,1,NA,NA
104454,USGS Watersheds Group,HON,104454-03,Water,57552,T16,NA,NA,7-Oct-11,12:00:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,7,NA,NA,NA,NA,-19.15747452,1.728000045,NA,6.849599838,411.5458679,26.82648659,31.96195221,NA,5.826231956,3.260063648,76.80460358,21.89371681,NA,11.30860043,3.789000034,NA,NA,4.654482365,NA,NA,NA,18.62000084,33.8689003,NA,9.232000351,NA,NA,NA,1.056257611,4.943078274,NA,NA,NA,1,NA,NA
104470,USGS Watersheds Group,HON,104470-07,Water,57666,T16,NA,NA,31-Oct-11,12:00:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,5,NA,NA,NA,NA,-21.74270248,1.90199995,NA,5.231400013,378.8579712,20.91406822,20.47292137,NA,5.03383112,2.561463594,76.85413361,21.20653725,NA,22.56410027,3.897000074,NA,NA,4.593340874,NA,NA,NA,21.5,31.46920013,NA,10.83100033,NA,NA,NA,0.981418997,4.550463879,NA,NA,NA,1,NA,NA
104462,USGS Watersheds Group,HON,104462-04,Water,57647,T16,NA,NA,1-Dec-11,1:45:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,4.2,1.03,NA,NA,NA,-38.36667633,0.964999974,NA,5.198299885,417.0993042,22.09274483,17.75541687,NA,5.258438587,2.98778677,77.68286133,21.01605225,NA,54.42430115,4.287000179,NA,NA,4.40761137,NA,NA,NA,25,29.15530014,NA,12.56000042,NA,NA,NA,0.909256203,5.009780609,NA,NA,NA,1,NA,NA
104501,USGS Watersheds Group,HON,104501-04,Water,57766,T16,NA,NA,25-Jan-12,2:15:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,0.4,0.99,NA,NA,NA,-31.89182663,1.351999998,NA,5.123799801,290.9770508,22.96182442,19.44751549,NA,5.805017471,2.976526976,77.64643097,22.64977074,NA,62.7478981,3.190000057,NA,NA,4.456319809,NA,NA,NA,25.29999924,31.73520088,NA,13.23900032,NA,NA,950209.9672,0.98971467,3.494925962,3320913.483,276489293.9,NA,1,NA,NA
104521,USGS Watersheds Group,HON,104521-04,Water,57847,T16,NA,NA,15-Mar-12,1:00:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,1.7,1,NA,NA,NA,-30.33129501,0.338999987,NA,5.122099876,312.4997559,24.6127224,25.48019981,0.563587487,7.16917944,4.790048599,78.28365326,26.90453339,NA,85.91069794,6.375,NA,NA,4.467103958,NA,NA,NA,26.20000076,29.49500084,NA,16.72699928,NA,NA,1539512.713,0.91985033,3.753435217,5778461.236,481097347.1,NA,1,NA,NA
104541,USGS Watersheds Group,HON,104541-07,Water,57899,T16,NA,NA,16-Mar-12,9:15:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,1.2,1.35,NA,NA,NA,-20.54508781,29.08399963,NA,4.523900032,350.0250549,24.83585548,19.83703232,0.680395007,5.807062149,3.467122316,60.03503418,17.50260353,NA,81.73040009,4.217999935,NA,NA,4.594209671,NA,NA,NA,25.60000038,21.71089935,NA,15.11100006,NA,NA,4537328.358,0.677090265,4.204151662,19075616.55,1588178607,NA,1,NA,NA
