Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Site
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,%,m,°C,
5/29/2018 10:06,0,0.48,3.75,0,0.93,4.23,100,-0.51,18.91,
5/29/2018 10:07,0,0,3.94,0,0.79,3.94,100,-0.24,18.7,
5/29/2018 10:07,0,1.96,2.25,0.22,1.01,4.44,100,-0.14,18.42,
5/29/2018 10:07,0,0.8,2.2,0,1.17,2.99,100,0,18.31,Shack
5/29/2018 10:07,8.4,0,0,0.87,0.81,9.27,100,0.17,18.35,Shack
5/29/2018 10:07,2.96,0.11,1.83,0,0.86,4.89,100,0.49,18.29,Shack
5/29/2018 10:07,2.01,0.36,2.17,0,0.87,4.54,100,0.61,18.23,Shack
5/29/2018 10:07,1.2,0.33,1.72,0,1.14,3.24,100,0.64,18.27,Shack
5/29/2018 10:07,0,0,1.63,0.59,1,2.22,100,0.89,17.84,Shack
5/29/2018 10:07,0,0,0.96,1.45,1.3,2.41,100,1.71,17.19,Shack
5/29/2018 10:07,0,0.01,0,1.96,1.36,1.97,100,1.9,17.09,Shack
5/29/2018 10:07,1.96,0,2.19,0.5,1.08,4.65,100,1.9,17.22,Shack
5/29/2018 10:07,0,0.14,2.15,0.41,1.14,2.7,100,2.35,17.09,Shack
5/29/2018 10:07,0,0.89,2.55,0,1.09,3.44,100,3.11,16.95,Shack
5/29/2018 10:07,0.26,0.49,2.14,0,1.21,2.9,100,3.26,16.95,Shack
5/29/2018 10:07,0,0,0.67,1.45,1.28,2.12,100,3.26,16.95,Shack
5/29/2018 10:07,0,0.13,1.61,0.6,1.15,2.33,100,3.79,16.82,Shack
5/29/2018 10:07,0,0.13,1.28,0.53,1.24,1.93,100,4.51,16.59,Shack
5/29/2018 10:07,0,0.35,1.37,0.28,1.28,2,100,4.81,16.55,Shack
5/29/2018 10:07,0,0,0.5,0.99,1.27,1.48,100,5.32,16.53,Shack
