Source,Date_Time_Sampled,Source.1,Date_Sampled,Time_Sampled,Client_Sample_ID.x,MeHg,MeHg_.ng.mL.,THg,X,Lab_No,Client,Project,Sample_Number,Matrix,Client_Sample_ID.y,State,Date_Sampled.y,Watershed,Plot_Transect,Pit,Horizon,Depth,Collection_Method,Lat_Degree,Lat_Min,Lat_Sec,Long_Degree,Long_Min,Long_Sec,Sample_Type,Temp,Stage,Record_Number,Flow,Lysimeter_Vol,Acid.Neutralizing.Capacity,Ammonium,Calcium,Chloride,Dissolved.Organic.Carbon,Filtered.Aluminum,Filtered.Aluminum..0_1.um.,Filtered.Calcium,Filtered.Iron,Filtered.Magnesium,Filtered.Potassium,Filtered.Silicon,Filtered.Sodium,Iron,Magnesium,Nitrate,Organic.Monomeric.Aluminum,Organic.Monomeric.Iron,Oxygen.18,pH,Potassium,Silicon,Sodium,Specific.Conductance,Sulfate,Total.Aluminum,Total.Monomeric.Aluminum,Total.Monomeric.Iron,UV254,Sug,DOCmg,SUVA,NO3mg,spT16,spT6,spT8,TMTT16,TMTT6,TMTT8
T16,5/15/2012 14:45,GM12002,5/15/2012,2:45:00 PM,,NA,NA,NA,NA,104554,USGS Watersheds Group,HON,104554-04,Water,57960,NA,5/15/2012,2:45:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,10.3,1.03,NA,NA,NA,-29.49099159,3.607000113,NA,4.329699993,442.0689697,22.19599915,NA,16.58107948,0.730877638,5.007090092,3.923284292,65.42865753,18.3266201,NA,NA,43.42229843,4.5,NA,NA,4.464406967,NA,NA,NA,22.39999962,28.72319984,NA,11.9630003,NA,NA,0.895780441,5.309691314,NA,2.692395272,1,NA,NA,1,NA,NA
T16,7/9/2012 11:10,GM12003,7/9/2012,11:10:00 AM,,NA,NA,NA,NA,104592,USGS Watersheds Group,HON,104592-02,Water,58143,NA,7/9/2012,11:10:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,15.3,NA,NA,NA,NA,-14.5778532,0.88499999,NA,7.417399883,375.419342,15.6569252,NA,16.15739059,1.083356261,4.648895264,2.514905453,107.7861862,28.92140198,NA,NA,10.12010002,3.697000027,NA,NA,4.406995773,NA,NA,NA,21,39.44340134,NA,8.815999985,NA,0.156000003,1.230107636,4.509162497,0.034596226,0.62749579,1,NA,NA,1,NA,NA
T16,9/25/2012 8:30,GM12004,9/25/2012,8:30:00 AM,,0.04,NA,1.49,NA,104645,USGS Watersheds Group,HON,104645-02,Water,58416,NA,9/25/2012,8:30:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,8,0.75,NA,NA,NA,-10.87034416,0.699000001,NA,7.278900146,424.9340515,18.44117355,NA,19.18794441,1.1003263,5.789756298,2.926445007,81.88949585,21.16125298,NA,NA,6.123000145,4.311999798,NA,NA,4.583397865,NA,NA,NA,20.70000076,42.31299973,NA,10.33899975,NA,0.196999997,1.319600802,5.103883776,0.038598057,0.379656012,1,NA,NA,1,NA,NA
T16,6/11/2013 13:15,GM13001,6/11/2013,1:15:00 PM,58939,0.008,NA,3.33,NA,104839,USGS Watersheds Group,HON,104839-01,Water,58939,NA,6/11/2013,1:15:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,10.3,1.26,NA,NA,NA,-52.05854416,0.600000024,NA,4.572400093,732.9710693,27.29825211,NA,15.01154995,1.573532104,3.572468281,1.732429862,54.97838211,15.8595562,NA,NA,7.983099937,7.925000191,NA,NA,4.409999847,NA,NA,NA,21.39999962,23.19720078,NA,12.64400005,NA,0.372000009,0.723443031,8.803717036,0.04225488,0.494991313,1,NA,NA,1,NA,NA
T16,9/25/2013 9:20,GM13032,9/25/2013,9:20:00 AM,59270,0.044,NA,2.12,NA,104916,USGS Watersheds Group,HON,104916-10,Water,59220,NA,9/25/2013,9:20:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,NT,8.2,NA,NA,NA,NA,-17.13324738,0.595000029,NA,6.553599834,423.8516846,15.85039806,NA,14.76002598,0.948598266,4.588700294,1.506209373,77.91322327,20.10422325,NA,NA,6.542900085,4.747000217,NA,NA,4.623500347,NA,NA,NA,19.80999947,34.43719864,NA,10.02200031,NA,0.200000003,1.073980934,5.090883464,0.039285913,0.405691865,1,NA,NA,1,NA,NA
T16,9/25/2013 9:21,GM13032,9/25/2013,9:21:00 AM,59273,0.012,NA,1.29,NA,104916,USGS Watersheds Group,HON,104916-11,Water,59221,NA,9/25/2013,9:21:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,NT,8.2,NA,NA,NA,NA,-24.76092148,0.620000005,NA,6.524499893,421.3205872,15.6891613,NA,14.15209293,0.937283874,4.428940773,1.480747342,76.94436646,20.31633568,NA,NA,6.638500214,4.795000076,NA,NA,4.624658585,NA,NA,NA,19.77000046,34.81900024,NA,10.06700039,NA,0.199000001,1.085888047,5.060482448,0.039324314,0.411619542,1,NA,NA,1,NA,NA
T16,10/9/2013 9:35,GM13034,10/9/2013,9:35:00 AM,59279,0.082,NA,5.5,NA,104921,USGS Watersheds Group,HON,104921-01,Water,59293,NA,10/9/2013,9:35:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,9.3,0.87,NA,NA,NA,275.1610718,1.572000027,NA,77.47129822,1073.163086,16.78780174,NA,160.8586884,2.854134321,6.634048462,17.56716728,74.04039001,176.9179077,NA,NA,19.38349915,3.763000011,NA,NA,7.149091721,NA,NA,NA,51.70000076,41.47650146,NA,4.359000206,NA,0.559000015,1.293513222,12.88976406,0.043367746,1.201871926,2,NA,NA,2,NA,NA
T16,10/17/2013 14:45,GM13037,10/17/2013,2:45:00 PM,59278,0.116,NA,4.09,NA,104930,USGS Watersheds Group,HON,104930-02,Water,59316,NA,10/17/2013,2:45:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,11.1,0.78,NA,NA,NA,236.1521912,1.217000008,NA,40.22850037,793.1680908,11.73330975,NA,134.8312836,1.996461034,7.679971218,9.383168221,84.40533447,97.88049316,NA,NA,12.52950001,2.994999886,NA,NA,6.995779037,NA,NA,NA,38.59999847,36.68360138,NA,3.375,NA,0.425000012,1.144038714,9.526743587,0.044611258,0.776890395,2,NA,NA,2,NA,NA
T16,10/22/2013 12:30,GM13038,10/22/2013,12:30:00 PM,59293,0.062,NA,3.35,NA,104930,USGS Watersheds Group,HON,104930-03,Water,59317,NA,10/22/2013,12:30:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,8.7,0.89,NA,NA,NA,85.26531982,0.575999975,NA,55.04349899,739.3987427,13.81624794,NA,77.17971802,1.53271234,5.049081802,9.43419075,83.12255096,124.8279266,NA,NA,32.05789948,3.58100009,NA,NA,6.631220818,NA,NA,NA,31.29999924,35.49869919,NA,4.348999977,NA,0.375999987,1.107085582,8.880919835,0.042337955,1.987746851,2,NA,NA,2,NA,NA
T16,10/30/2013 12:25,GM13040,10/30/2013,12:25:00 PM,59316,0.042,NA,2.4,NA,104931,USGS Watersheds Group,HON,104931-07,Water,59360,NA,10/30/2013,12:25:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,5,NA,NA,NA,NA,45.08819199,1.20599997,NA,44.26639938,523.2640991,11.69198132,NA,60.52238464,1.055322409,5.355633259,4.697705746,83.01499939,91.35704803,NA,NA,28.55139923,3.279999971,NA,NA,6.487987518,NA,NA,NA,25.10000038,35.90110016,NA,4.059000015,NA,0.259000003,1.119635121,6.284926182,0.041209713,1.770326654,2,NA,NA,2,NA,NA
