"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","Analyte","Site"
"1","USGS","0134277112",2011-05-16,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.93,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-05-16 00:00:00,"DOC","Reference"
"2","USGS","0134277112",2011-05-16,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.63,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-05-16 00:00:00,"SO4","Reference"
"3","USGS","0134277112",2011-06-06,"09:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.72,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-06-06 09:25:00,"DOC","Reference"
"4","USGS","0134277112",2011-06-06,"09:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,3.24,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-06-06 09:25:00,"SO4","Reference"
"5","USGS","0134277112",2011-07-19,"12:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.3,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-07-19 12:25:00,"DOC","Reference"
"6","USGS","0134277112",2011-07-19,"12:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,3.59,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-07-19 12:25:00,"SO4","Reference"
"7","USGS","0134277112",2011-08-01,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.58,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-08-01 00:00:00,"DOC","Reference"
"8","USGS","0134277112",2011-08-01,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,3.79,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-08-01 00:00:00,"SO4","Reference"
"9","USGS","0134277112",2011-10-07,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.46,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-10-07 00:00:00,"DOC","Reference"
"10","USGS","0134277112",2011-10-07,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,3.06,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-10-07 00:00:00,"SO4","Reference"
"11","USGS","0134277112",2011-10-31,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.15,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-10-31 00:00:00,"DOC","Reference"
"12","USGS","0134277112",2011-10-31,"00:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.91,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-10-31 00:00:00,"SO4","Reference"
"13","USGS","0134277112",2011-11-15,"03:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.59,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-11-15 03:45:00,"DOC","Reference"
"14","USGS","0134277112",2011-11-15,"03:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.88,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-11-15 03:45:00,"SO4","Reference"
"15","USGS","0134277112",2011-11-30,"05:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.51,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-11-30 05:00:00,"DOC","Reference"
"16","USGS","0134277112",2011-11-30,"05:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.47,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-11-30 05:00:00,"SO4","Reference"
"17","USGS","0134277112",2011-12-01,"14:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.14,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-12-01 14:45:00,"DOC","Reference"
"18","USGS","0134277112",2011-12-01,"14:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.62,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2011-12-01 14:45:00,"SO4","Reference"
"19","USGS","0134277112",2012-01-25,"13:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.33,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-01-25 13:45:00,"DOC","Reference"
"20","USGS","0134277112",2012-01-25,"13:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.57,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-01-25 13:45:00,"SO4","Reference"
"21","USGS","0134277112",2012-03-15,"12:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.27,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-15 12:30:00,"DOC","Reference"
"22","USGS","0134277112",2012-03-15,"12:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.51,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-15 12:30:00,"SO4","Reference"
"23","USGS","0134277112",2012-03-16,"15:15",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.63,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-16 15:15:00,"DOC","Reference"
"24","USGS","0134277112",2012-03-16,"15:15",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.33,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-16 15:15:00,"SO4","Reference"
"25","USGS","0134277112",2012-03-18,"17:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.68,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-18 17:30:00,"DOC","Reference"
"26","USGS","0134277112",2012-03-18,"17:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.2,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-18 17:30:00,"SO4","Reference"
"27","USGS","0134277112",2012-03-22,"11:40",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.31,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-22 11:40:00,"DOC","Reference"
"28","USGS","0134277112",2012-03-22,"11:40",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.42,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-03-22 11:40:00,"SO4","Reference"
"29","USGS","0134277112",2012-04-18,"12:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,3.24,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-04-18 12:45:00,"DOC","Reference"
"30","USGS","0134277112",2012-04-18,"12:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.88,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-04-18 12:45:00,"SO4","Reference"
"31","USGS","0134277112",2012-05-15,"15:15",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00681",NA,4.62,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-05-15 15:15:00,"DOC","Reference"
"32","USGS","0134277112",2012-05-15,"15:15",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.57,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-05-15 15:15:00,"SO4","Reference"
"33","USGS","0134277112",2012-06-07,"09:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00681",NA,4.24,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-06-07 09:30:00,"DOC","Reference"
"34","USGS","0134277112",2012-06-07,"09:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.02,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-06-07 09:30:00,"SO4","Reference"
"35","USGS","0134277112",2012-06-07,"09:31",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00681",NA,3.96,NA,"OX023","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2012-06-07 09:31:00,"DOC","Reference"
